Date,Equitorial,Savanna,Mid-Latitude Desert,Mediterranean,Temperate,Continental,Tundra
1900,25.18896153846154,25.597446327683613,23.6483625,14.85412962962963,8.874458333333333,5.870313596491228,-0.7733888888888889
1901,25.056232051282052,25.360388418079097,23.439956249999998,14.976809670781892,8.612392857142856,5.962489035087718,-0.30452777777777795
1902,24.870771794871796,25.471322033898304,23.670477083333335,14.947487654320987,8.480983630952382,5.279440789473685,-1.5382777777777774
1903,24.857123076923074,25.19714265536723,23.223143055555553,14.493492798353907,8.620380952380954,6.070815789473684,-0.07952777777777749
1904,24.437847435897435,24.95996327683616,23.10728611111111,14.630539094650205,8.566535714285715,5.913361842105263,-0.6361666666666669
1905,25.018403846153845,25.24695056497175,22.986125694444443,14.433319958847738,8.45587351190476,5.88756798245614,0.7968611111111116
1906,24.987630769230766,25.27771186440678,23.30609861111111,14.572812757201646,8.695044642857143,6.187640350877193,0.16552777777777786
1907,24.757958974358974,25.070803672316384,23.144442361111114,14.370468106995885,8.228788690476192,5.338530701754386,-0.6418888888888892
1908,24.85127307692308,25.15186723163842,23.268461805555557,14.498916666666666,8.291721726190476,5.356594298245614,-0.0752777777777774
1909,24.798465384615383,25.195271186440678,23.18405208333333,14.8123683127572,8.358767857142857,5.4264846491228065,-0.7275000000000001
1910,24.812384615384616,25.104214689265536,23.049550694444445,14.581116255144032,8.537267857142856,6.005857456140351,-0.021388888888888975
1911,24.774607692307693,25.226939265536725,23.22945069444444,14.401975308641974,8.584550595238095,6.307989035087719,-0.06533333333333347
1912,25.076089743589744,25.42979661016949,23.314465277777774,14.567710905349793,8.219308035714286,5.504874999999999,-0.042166666666666686
1913,25.01095128205128,25.320079096045195,23.143643055555554,14.504771604938272,8.645369047619047,6.413712719298246,0.21097222222222234
1914,25.271315384615388,25.469540960451976,23.41071666666667,14.893274691358023,8.738691964285714,6.485127192982456,0.5919722222222222
1915,25.34980512820513,25.710843220338983,23.73474861111111,15.010151234567902,8.651336309523808,5.7550219298245615,-0.6169999999999999
1916,24.96593717948718,25.14512146892655,23.33747013888889,14.928937242798355,8.739278273809523,5.839280701754386,-0.1695000000000005
1917,24.91108846153846,24.946420903954802,22.622107638888888,14.62510596707819,8.25757738095238,5.475616228070176,-1.0339444444444448
1918,24.776419230769232,25.142307909604522,23.16117291666667,14.64395781893004,8.670196428571428,6.012513157894737,-0.44161111111111095
1919,25.24756153846154,25.554954802259886,23.34177222222222,14.917,8.51552380952381,5.131357456140351,-0.5657777777777776
1920,25.036392307692307,25.400015536723163,23.35917013888889,14.482566872427983,8.611055059523808,6.17031798245614,0.6111666666666663
1921,25.075269230769234,25.301237288135592,23.591629861111112,14.8206646090535,8.978540178571428,6.747866228070175,0.32649999999999996
1922,25.038064102564103,25.349807909604518,23.48041458333333,15.139487654320988,8.579401785714287,5.535671052631578,-0.04794444444444442
1923,24.970699999999997,25.280156779661016,23.417588888888886,14.879557613168723,8.905775297619048,5.927927631578947,0.0802777777777776
1924,25.204260256410254,25.440778248587574,23.426814583333336,14.809322016460905,8.461617559523809,5.728149122807017,0.11605555555555587
1925,24.958776923076922,25.273819209039548,23.208522222222225,14.885132716049384,8.889284226190476,6.442561403508773,0.1754444444444442
